"Paper ID","Citation (Author, Year)","Title","DOI/URL","Geographical variable","Sector / policy domain","Temporal variable","Research design & method","Unit of analysis","Temporal window of observation","Definition of adaptive governance (with page no.)","Primary theoretical framework(s)","Normative stance toward AG","Enablers of AG","Challenges of AG","Evidence of AG in practice","Indicators / operationalizations","Engagement with power & politics","Engagement with equity / justice / legitimacy","Mechanisms of AG","Institutional conditions enabling AG","Institutional conditions constraining AG","Relationship with related concepts","How AG is distinguished from related concepts","Level of governance","Type of evidence supporting AG claims","Key quotation(s) + page no.","Notes / Coding comments"
"203","Valman, Österblom & Olsson (2015)","Adaptive governance of the Baltic Sea – Lessons from elsewhere","10.18352/ijc.532","Baltic Sea (comparisons with Southern Ocean and Coral Triangle)","Marine resource governance","1974–2014","Comparative case study using an ideal-type framework","International marine governance bodies (HELCOM, CTI-CFF, CCAMLR)","1974–2014","Governance emphasizing analytical deliberation, nesting and institutional variety while meeting information, compliance and change requirements","Ostrom's Design Principles; Dietz et al. Governance Requirements","Supportive / advocated","Bridging organizations; institutional diversity; political will","Systemic delay; limited mandates; weak political commitment","CCAMLR compliance evaluations; CTI-CFF knowledge platforms","Indicators for information, compliance and adaptation","Recognizes power and political will as critical","Legitimate outcomes and equitable sharing of burdens and benefits","Analytical deliberation; nesting; institutional variety","Mixed public-private governance arrangements","Static rules; limited vertical integration","Linked to ecosystem approaches; adaptive management; international regimes","Broader governance capacity than problem-solving alone","International; National; Local","Comparative literature and policy review","""Analytical deliberation, nesting, and institutional variety... are hypothesized to be especially relevant...""","Comparative analysis of adaptive marine governance"
"204","Österblom & Folke (2013)","Emergence of Global Adaptive Governance for Stewardship of Regional Marine Resources","10.5751/ES-05373-180204","Southern Ocean","Marine resources; Fisheries","Mid-1990s–2011","Mixed-method interplay analysis of actors, networks, organizations and institutions","Social-ecological governance system","Mid-1990s–2011","Process of dealing with complexity and uncertainty while reconciling conflicts among actors with differing interests, values and power","Social-Ecological Systems; Governance Features Framework","Supportive / advocated","Crisis-induced action; shadow networks; institutional entrepreneurs","Consensus constraints; adaptive illegal actors","Reduction of illegal Patagonian toothfish fishing (>90%)","Catch Documentation Scheme; blacklist of illegal vessels","Strong discussion of political mobilization and venue manipulation","Governance embedded in democratic and trusted institutional arrangements","Cognitive interaction; venue manipulation; boundary objects","Polycentric governance; multilevel collaboration","Institutional misfit; static governance systems","Linked to adaptive management; social-ecological systems","Expands adaptive management to include broader social contexts","Global; Regional; National","Mixed qualitative and quantitative evidence","""Adaptive governance refers to a process of dealing with complexity and change under uncertain conditions...""","Foundational study of global adaptive marine governance"
"206","Risvoll, Fedreheim, Sandberg & BurnSilver (2014)","Does Pastoralists' Participation in the Management of National Parks in Northern Norway Contribute to Adaptive Governance?","10.5751/ES-06658-190271","Central Nordland, Northern Norway","Protected area management; Reindeer herding","2010–2013","Case study using interviews, focus groups and meeting observations","Regional National Park Boards (NPBs)","2010–2013","Institutional capacity to handle change and reconfigure itself without significant decline in core functions","Ostrom's SES Framework; Resilience Thinking","Supportive / analytical","Local knowledge; Indigenous Sámi representation; bridging organizations","Mismatch between herder priorities and board agendas; loyalty dilemmas","Regional National Park Boards established in 2010","SES variables including resource mobility, history of use and mental models","Examines delegation of authority from central bureaucracy to local actors","Recognition of Indigenous rights and conservation legitimacy","Knowledge co-production; social learning; bridging organizations","Participation arenas; conflict-resolution mechanisms","Rigid constitutional rules; historical path dependency","Linked to adaptive capacity; resilience; co-management; social learning","Brings social and ecological governance closer than centralized bureaucracy","Regional; Local; National","Qualitative interviews, observations and focus groups","""The regional National Park Board is... a critical mechanism that provides an action arena for participation and conflict resolution.""","Empirical study of Indigenous participation and adaptive governance"
"209","Hurlbert (2014)","Adaptive institutional design in agri-environmental programs","10.1108/IJCCSM-12-2012-0076","Saskatchewan, Canada","Agri-environmental programs; Agriculture","1930–2012; future role of government","Ethnographic study using 178 semi-structured interviews with producers and 12 policy informants","Agri-environmental farm programs","1930/1980–2012","Responsive, flexible institutional design of policymaking recognizing interconnection of past, present and future human-biophysical systems","Resilience; Collaborative / adaptive co-management","Supportive / advocated","Localized delivery; PCAB; meaningful stakeholder participation","Inappropriate local rules; distrust of government; short-term election/budget cycles","Canada-Saskatchewan Farm Stewardship Program; Farm and Ranch Water Infrastructure Program","Program responsiveness; framing; stakeholder engagement; actor roles","Changing political conditions; alienation from senior government","Environmental justice mentioned; profitability with environmental goals","Flexible problem framing; consultation; learning by doing; localized delivery","Delivery by closer government levels or local entities","Top-down management; rigid funding timelines","Adaptive management; adaptive co-management; resilience","Focuses on institutions and efficacy in supporting community adaptation","Federal; Provincial; Local","Qualitative interviews; historical program documentation","“Adaptive governance recognizes that the present, past and future…” (p.146)","Empirical study of adaptive institutional design in agriculture"
"210","Cosens (2013)","Legitimacy, Adaptation, and Resilience in Ecosystem Management","10.5751/ES-05093-180103","United States","Ecosystem management; Law","Not reported (references historical U.S. administrative law developments from 1897 through the 1970s and 21st-century reforms; forward-looking reform recommendations)","Legal and theoretical synthesis","Procedural elements of governance / administrative law","Not reported","Laws, policies, regulations, institutions and structures involved in governing, including collaboration across government levels and non-government actors","Resilience theory; Panarchy; Network theory","Supportive / analytical","Local capacity; vertical/horizontal networks; public participation","Law’s need for finality; scale mismatch; resistance to change","NEPA; ESA; Incident Command System","Polycentricity; participation; experimentation; bioregional management","Politicization of science; agency capture; unilateral power","Results-based, order-based, systemic, deliberative and procedural legitimacy","Monitoring; feedback; collaborative networks; incremental adjustment","Multi-level management; jurisdictional diversity; redundancy","Rigid jurisdictions; command-and-control pathologies","Ecological resilience; adaptive management; ecosystem management","Governance provides vision; management operationalizes vision","Local; State; Federal; International","Theoretical synthesis; legal case analysis","""adaptive governance is the term used when referring to action by multiple jurisdictions and to the process of involving multiple nongovernmental actors in decision making (Cosens and Williams 2012)"" (p.3); ""Adaptive governance moves from a focus on efficiency and clean lines between jurisdictional authorities, to a focus on diversity, redundancy, and multiple levels of management, including a role for local knowledge and local action"" (p.3); ""multiscalar, diverse, overlapping authority can facilitate resilience in governance systems, provided an adequate mechanism for coordination across the particular ecological system is developed"" (p.3)","Conceptual/legal synthesis on legitimacy and resilience"
"211","Seeliger & Turok (2014)","Averting a downward spiral: building resilience in informal urban settlements through adaptive governance","10.1177/0956247813516240","Stellenbosch, South Africa","Urban planning; Informal settlements","2005–2013","Case study using participant observation, stakeholder interviews and community-led enumeration","Enkanini informal settlement","2005–2013","Approach combining experimental learning in complex systems with organizational theory to deal with unexpected change","Resilience thinking; Adaptive cycles","Supportive / advocated","Community structures; partnerships; knowledge co-production","Government hostility; divisions; political volatility; mistrust","I-shack solar power intervention; community enumeration","Flexible policy action; inclusive decision-making; local capabilities","Political control shifts; power/responsibility sharing","Poverty reduction; residential rights; racial tensions","Experimental testing; social negotiation; iterative learning","Multilevel power-sharing between government and communities","Standard rules/procedures; reactive crisis response","Risk; vulnerability; resilience","Goes beyond “just managing” toward positive urban integration","Local; Provincial; National","Participant observation; interviews; project outcomes","“Adaptive governance is an approach to system management…” (p.185)","Informal settlement resilience case study"
"212","Marshall (2013)","Transaction costs, collective action and adaptation in managing complex social–ecological systems","10.1016/j.ecolecon.2012.12.030","Murray–Darling Basin, Australia","Water resources; Environmental water","1980s–2012","Theoretical framework and stylized empirical application","Institutional choices: buy-back vs infrastructure upgrades","Not reported","Creation, maintenance, enforcement and adaptation of institutions for collective action under environmental change","Institutional Economics; CAS; SES","Supportive / advocated","Trust; reciprocity; reputation; third-party governance","High transaction costs; wickedness; uncertainty; surprises","National Water Initiative; Goulburn–Broken infrastructure choices","Static/dynamic transaction costs; lock-in costs","Vested interests; political opposition to buy-back","Societal equity as adaptive-capacity determinant","Deliberation; monitoring; graduated sanctions","Polycentric institutions; trust-supporting settings","Paternalism; dependency; institutional lock-in","Adaptive management; adaptive co-management; institutional resilience","Focuses on social/institutional context enabling ecosystem management","National; State/Territory; Local/Group","Theoretical synthesis; secondary basin analysis","“Adaptive governance… creating, maintaining, enforcing and adapting…” (p.187)","Conceptual and applied institutional economics study"
"213","Maclean et al. (2013)","Healthy country, healthy people: An Australian Aboriginal organisation’s adaptive governance to enhance its social–ecological system","10.1016/j.geoforum.2012.10.005","Southern Wet Tropics, North-eastern Australia","Indigenous land and sea management","1994–2012","Co-research; participant observation; 16 interviews","Girringun Aboriginal Corporation","1994–2012","Connects individuals, organizations, institutions and agencies across levels through structures for collective action and coordination","SES; Resilience","Supportive / advocated","Networks; visionary leadership; trust; organizational learning","Lack of formal land rights; dispossession; short-term grants","Ranger Unit; Arts Centre; TUMRA","Knowledge co-production; partnerships; reconciliation activities","Power sharing; autonomy through resource conflict resolution","Social disadvantage; self-determination; reconciliation","Bridging organizations; social learning; pilot learning","Cooperative management; cross-cultural networks","Fragmented governance silos","Adaptive management; adaptive co-management; resilience","Expands adaptive management to decision-making and power-sharing structures","Federal; State/Territory; Regional; Local","Interviews; participant observation","“Adaptive governance expands adaptive management…” (p.95)","Indigenous adaptive governance case study"
"214","Gupta, Pahl-Wostl & Zondervan (2013)","‘Glocal’ water governance: a multi-level challenge in the anthropocene","10.1016/j.cosust.2013.09.003","Global / multi-level","Water governance","2003–2013","Literature review and synthesis of policy documents","Water governance paradigms","10 years","Complements IWRM by focusing on unpredictable socio-economic systems and polycentric bioregional approaches","Earth System Governance; Anthropocene","Supportive / advocated","Polycentricity; participation; experimentation; social learning","Ownership/boundary politics; transboundary disputes","Room for Rivers; EU Water Framework Directive","Multi-level engagement; transformation; clumsy solutions","Power conflicts over water; power configuration","Human right to water; equitable sharing; legitimacy","Multi-stakeholder decisions; experimentation; social learning","Umbrella frameworks adaptable to context","Centralized hierarchical governance; limited participation","IWRM; Nexus approach","Distinct from centralized control of predictable systems","Global; Supranational; National; Local","Scholarly literature review","“The challenge of the water crisis is first and foremost a ‘crisis of governance’.” (p.573)","Conceptual review of glocal water governance"
"215","Hurlbert & Diaz (2013)","Water Governance in Chile and Canada: a Comparison of Adaptive Characteristics","10.5751/ES-06148-180461","SSRB Canada; Elqui River Basin Chile","Water governance; Agriculture","1920s/30s to future climate scenarios","Comparative qualitative interviews, focus groups and vulnerability assessments","Water governance regimes","1920–2013","Capacity of formal institutions to reduce vulnerabilities and adapt to environmental change","SES; Resilience thinking; Neo-liberalism","Mixed","Stakeholder participation; vertical/horizontal coordination; synergistic social capital","Institutional silos; rigidity; data gaps","Watershed advisory committees; Water Dialogues","Responsiveness; learning; capacity; equity","Unequal power over water rights; election cycles","Fair distribution of risks/benefits/costs; access to justice","Reflexive social learning; watershed management; experimentation","Enabling state coordinating local institutions","Centralization in Chile; fragmented governance in Canada","Adaptive capacity; resilience; good governance","Seeks institutional-natural fit to reduce group vulnerability","Federal; Provincial/Regional; Local","Vulnerability assessments; comparative institutional analysis","“Adaptive governance should be understood not only…” (p.4)","Comparative water governance study"
"217","Johannessen & Hahn (2013)","Social learning towards a more adaptive paradigm? Reducing flood risk in Kristianstad municipality, Sweden","10.1016/j.gloenvcha.2012.07.009","Kristianstad, Sweden","Flood risk management; Urban planning","1996–2011","Longitudinal case study; 20 interviews over 8 years","Social learning process facilitated by technical professionals","1996–2011","Connects individuals and agencies through structures promoting coordination and SES management","Social learning; Resilience; Organized irresponsibility","Supportive / advocated","Core action groups; political buy-in; extreme flood events","Stationary principle; organized irresponsibility; unlearning old habits","10 km embankments; open information policy","Changed understanding; institutional integration; public dialogue","Responsibility delegation; political prioritization","Public dialogue and legitimacy for support","Challenging assumptions; knowledge building; organizational learning","Multi-level learning; cross-organizational communication","Decentralization inhibiting coordination; lack of research funding","Adaptive capacity; resilience; climate proofing","Double/triple-loop learning changes frames and mental models","National; District/County; Local","Longitudinal interviews; municipal action plans","“Building resilience and adaptive capacity would require a mind shift…” (p.372)","Longitudinal flood-risk learning case"
"219","Green et al. (2013)","EU water governance: striking the right balance between regulatory flexibility and enforcement?","10.5751/ES-05357-180210","European Union","Water governance; Environmental law","1980–2027","Analysis of EU Water Framework Directive using resilience science","EU Water Framework Directive","1980–2013","Incorporates formal institutions, informal networks and individuals at multiple scales for collaborative environmental management","Applied resilience science; Panarchy; Principal-agent theory","Neutral / analytical","Hydrologic rescaling; public participation","Weak enforcement; poor monitoring feedback; inertia","Six-year planning; intercalibration groups","Overlapping control; horizontal/vertical flow; response authority","Shared sovereignty; postsovereign reterritorialization","Transparency; disclosure; citizen rights","River basin plans; measures programs; combined approach","Governance along natural hydrologic boundaries","Weak national interpretation; exemption reliance","SES resilience; panarchy; adaptive co-management","Shares management power/responsibility through participatory processes","EU; National; Basin; Sub-basin","Legal directive analysis; implementation reports","“Adaptive governance incorporates formal institutions…” (p.2)","EU water law and adaptive governance assessment"
"222","Bark et al. (2012)","Adaptive basin governance and the prospects for meeting Indigenous water claims","10.1016/j.envsci.2012.03.005","Colorado, Columbia and Murray-Darling Basins","Water resources; Indigenous rights","1850s–2012","Comparative case assessment applying theoretical framework","Adaptive basin governance regimes","1850–2012","Regimes dealing with uncertainty/change through planning integrating science and other knowledge, enabling learning","SES; Wicked problems; Polycentric institutions","Supportive / advocated","Legal entitlements; basin planning; technical capacity","Rigid institutions; zero-sum conflicts; historic disenfranchisement","Arizona Water Settlement Act; Fish Accords","Entitlements; water marketing; Indigenous representation","Power-sharing; trade-offs; tribal claims","Historic inequality; legitimacy of local decisions","Settlement negotiation; incentive reallocation; watershed planning","Polycentric nested decision-making","Lack of treaties/judicial decisions; limited land holdings","Adaptive management; resilience; co-management","Addresses gap between theory and Indigenous practical experience","Federal; State/Territory; Basin; Tribal/Local","Policy, legislation and court-decision review","“Adaptive basin governance regimes can deal with uncertainty…” (p.169)","Comparative Indigenous water-claims study"
"224","Underdal (2010)","Complexity and challenges of long-term environmental governance","10.1016/j.gloenvcha.2010.02.005","Global","Environmental governance; Climate change; Biodiversity","Intergenerational long-term problems","Theoretical synthesis and comparative response-model analysis","Collective response models and governance modes","Not reported","Approach improving understanding of flexible and effective response in complex decentralized systems","Resilience; Rational choice; Crisis management","Neutral / analytical","Diverse responses; decentralization; subunit autonomy","Intergenerational lags; uncertainty asymmetry; free riding","C40; California climate law; eco-labeling","Monitoring; experimentation learning; decentralization","Temporal asymmetry; anarchic international system","Intertemporal fairness; public virtue","Decentralized experimentation; clumsy solutions; conditional promises","Heterogeneous and unstable task environments","Tightly connected activities requiring integrated outputs","Adaptive management; resilience; multi-level governance","Contrasts with centralized master-plan collective action models","Global; National; Local","Theoretical/conceptual synthesis","“In a no-analogue state, capacity for adaptive and innovative governance…” (p.388)","Foundational long-term environmental governance theory"
"225","Huntjens et al. (2012)","Institutional design propositions for the governance of adaptation to climate change in the water sector","10.1016/j.gloenvcha.2011.09.015","Netherlands; Western Australia; South Africa","Water sector; Water governance","2000–2009","Comparative qualitative assessment; 30 expert interviews","Climate adaptation strategy initiation/development","2000–2009","“Management as learning” supporting policy adjustments under uncertainty and problem reframing","Institutional design principles; Multi-level governance; Triple-loop learning","Supportive / advocated","Multi-stakeholder dialogue; policy integration; redundancy","Information gaps; capacity problems; one-size-fits-all; lock-in","Room for Rivers; Western Australian State Water Plan","8 propositions: boundaries, equity, monitoring, conflict resolution, etc.","Addresses neglected power and interests in adaptation policy","Fair redistribution of risks/benefits/costs; past inequities","Policy learning; experimentation; dialogue","Polycentric systems; central-decentral interwovenness","Participation costs; institutional inertia","Adaptive capacity; resilience thinking; IWRM","Extends beyond local CPR to cross-boundary large-scale systems","Supranational; National; Regional; Local","Expert interviews; strategy assessment","“Successful governance of adaptation… depends on enabling adaptive institutions…” (p.80)","Comparative institutional design study"
"227","Clark & Clarke (2011)","Local sustainability initiatives in English National Parks: What role for adaptive governance?","10.1016/j.landusepol.2010.06.012","England, UK","Natural resource management; Protected landscapes","2000–2009","National survey, questionnaire and field visits to 5 cases","Local sustainability projects / National Park Authorities","2000–2009","Connects individuals, organizations, agencies and institutions across levels using diverse knowledge systems","SES; Social capital; Bridging organizations","Critical / skeptical","NPAs; cross-scale institutions; place identity","Piecemeal approaches; weak monitoring; business suspicion","South West Wood Fuels; BRASCA; Mosaic Partnership","Cross-level interaction; learning practices; physical-resource use","State managerialism; structural power relations","BME participation through Mosaic","Learning-by-doing; cooperation; single/double-loop learning","Sustainability as collective endeavour; trust building","Limited core funding; state spending constraints","Multi-level/scaled governance; sustainable development","Focuses on interaction and learning rather than state goals alone","National; Regional; Local; Parish","Survey metrics; qualitative best-practice appraisal","“Adaptive governance… prioritises collaborative learning…” (p.314)","Empirical study of sustainability initiatives"
"229","Crona & Parker (2012)","Learning in Support of Governance: Theories, Methods, and a Framework to Assess How Bridging Organizations Contribute to Adaptive Resource Governance","10.5751/ES-04534-170132","Phoenix metropolitan area, Southwestern USA","Natural resource governance; Water management","2004–2012","Multimethod study using interviews, network/attitudinal survey and ethnographic observation","Decision Center for a Desert City as bridging organization","Cross-sectional ""snapshot"" of DCDC; no explicit longitudinal window (authors note limitation that dynamic/longitudinal analyses over time are needed)","Continuous production and use of new knowledge to adapt to complex, changing SES","Knowledge utilization; Boundary organizations; Stakeholder theory","Neutral / analytical","Bridging organizations; WaterSim; brokers","Cultural differences; power imbalances; timescale issues","Arizona State University DCDC project","Knowledge-utilization scale; cultural-difference metrics","Stakeholder saliency: power, legitimacy, urgency","Fair treatment of opposing views","Water briefings; strategic timing; model customization","Formalized bridging organization","University publish/consult pressures; political limits","SES; social learning; communities of practice","Distinguishes formal bridging organizations from informal networks","Regional; Municipal/City","Network regression; ethnographic content analysis","“Natural resource governance must therefore involve continuous production…” (p.1)","Bridging organization study"
"230","Hahn (2011)","Self-organized governance networks for ecosystem management: who is accountable?","10.5751/ES-04147-160218","Kristianstads Vattenrike, Southern Sweden","Ecosystem management; Biosphere Reserve","1989–2010","Empirical case study; 23 semi-structured interviews","Multilevel governance network of KVBR","1989–2010","Governance network enhancing learning, adaptability and resilience through stakeholder knowledge","Panarchy; Adaptive cycle; Governance network theory","Mixed","Biosphere Office; social memory; vertical links","Accountability ambiguity; cost escalation; financial shocks","KVBR; Naturum centre","Extended accountability; input/output legitimacy; social memory","Low vs high politics; investment conflict","Legitimacy and representation of politically weak stakeholders","Theme groups; adhocracy groups; three-year conservation plans","Loosely nested informal arenas with formal navigation","Bureaucracy; inefficient meeting culture","Shadow networks; social memory; panarchy","Informal/implicit governance networks vs formal collaborative governance","UNESCO/International; National; County; Municipal","Interviews triangulated with newspapers and protocols","“For self-organized networks, legitimacy is the bridge…” (p.1)","Accountability in self-organized governance networks"
"231","van Rijswick & Salet (2012)","Enabling the contextualization of legal rules in responsive strategies to climate change","10.5751/ES-04895-170218","International; Netherlands (Space for the River)","Climate change adaptation; Law","20th-century transitions in legal roles","Conceptual exploration and theoretical analysis","Legal perspective and principal norms in responsive strategies","Not reported","Adaptive governance enables responsiveness of social-ecological systems to changing conditions and disturbances; viewed as creating conditions for ordered rule and collective action through decision-making and power sharing (p.2, p.4)","Adaptive management; Legal obligation theory; Criteria of legality","Supportive but critical (supports adaptive governance while emphasizing legal certainty)","Self-organization; trust; leadership; informal community knowledge systems","Weak private/public enforcement; exclusion of parties; asymmetric power distribution","UNFCCC; Kyoto Protocol; Dutch Space for the River project","Flexibility; guaranteed protection level; enforcement possibilities","Examines asymmetric power distribution and the need for countervailing legal authority","Substantive and procedural fairness; equity principles in environmental treaties","Iterative legislation; monitoring; recalibration; legal obligation","Enabling legislation transferring authority to local actors and broadening stakeholder participation","Hierarchical bureaucracy; instrumental steering; rigid administrative models","Resilience; adaptability; transformability","Emphasizes flexibility and discovery-oriented governance rather than binding formal interaction","International; European; National; Local","Legal analysis and case-study reflection","""Adaptive governance... enables responsiveness of social-ecological systems to changing conditions and disturbances."" (p.2)","Conceptual legal analysis of adaptive governance in climate adaptation"
"232","Meek et al. (2011)","Adaptive governance and the human dimensions of marine mammal management: Implications for policy in a changing North","10.1016/j.marpol.2010.10.021","Alaska (USA); Nunavut (Canada); Finland","Marine mammal management","1900s–2010","Comparative analysis of marine mammal management regimes","Marine mammal management regimes","1968–2010","Adaptive governance builds cross-scale understanding while allowing local actors flexibility to develop ecologically robust and effective rules (p.467)","Institutional theory; Diagnostic analysis of fit and scale","Supportive / advocated","Self-organizing social networks; community governments; multilevel collaboration","International political pressures; policy optics; institutional power imbalances","Community-based narwhal management; Inuvialuit–Iñupiat Polar Bear Management Agreement","Cross-scale interactions; self-organization; addressing key resource drivers","Examines power tensions across governance scales","Recognition of Indigenous subsistence rights and local legitimacy","Iterative policy review; triple-loop learning; cross-scale rule making","Polycentric co-management arrangements; shared rights and responsibilities","Top-down rules; sectoral rigidity; organizational resistance","Adaptive management; adaptive co-management; resilience","Extends beyond single institutions through multilevel problem-solving and policy feasibility","Local to Global","Comparative empirical case analysis","""Adaptive governance is a model of governance that builds upon local to global linkages for sustainability."" (p.467)","Comparative study of adaptive marine mammal governance"
"233","Elbakidze et al. (2010)","Multi-stakeholder collaboration in Russian and Swedish Model Forest initiatives: Adaptive governance toward sustainable forest management?","10.5751/ES-03334-150214","Northwest Russia; Sweden","Sustainable forest management","1990s–2007","Longitudinal comparative study using 198 qualitative interviews and document analysis","Four Model Forest initiatives","1990–2007","Adaptive governance is an institutional response to sustainable development challenges characterized by iterative learning that enables people to cope with change (p.3)","Social-ecological systems; Complex adaptive systems","Mixed","Policy entrepreneurs; knowledge sharing; multilevel platforms","Cross-sector coordination; balancing top-down and bottom-up approaches; representativeness of actors","Komi and Pskov Model Forests (Russia); Vilhelmina and Säfsen Forests (Sweden)","Inclusive partnerships; transparent governance; knowledge-sharing networks","Compares top-down power distribution in Russia with more bottom-up governance in Sweden","Representative democratic governance across stakeholder groups","Iterative learning; collaborative learning; transdisciplinary knowledge production","Polycentric institutional arrangements; bridging organizations","Traditional sectoral management; corruption; weak property rights; fragile governance institutions","Adaptive capacity; resilience; sustainability","Expands governance beyond individual management units to landscape and regional scales through multilevel integration","Local; Regional; National; Global","Interview data and archival document analysis","""Adaptive governance can be understood as an institutional response to the challenges of SD and SFM."" (p.3)","Comparative Model Forest governance study"
"238","O'Doherty et al. (2011)","From consent to institutions: Designing adaptive governance for genomic biobanks","10.1016/j.socscimed.2011.05.046","British Columbia, Canada","Health research; Genomic biobanks","25-year longitudinal tracking","Conceptual framework and formative case study","BC Generations Project governance model","Not reported","Integrated governance framework allowing governance to evolve fairly and respectfully while facilitating effective functioning of the resource (p.369)","Stewardship; Adaptive management principles","Supportive / advocated","Trustworthy institutional structures; participant representation; reflexive governance","Limited public trust; one-size-fits-all governance; superficial participant engagement","Tiered governance model for the BC Generations Project","Trustworthiness; participant recognition; adaptivity; institutional fit","Examines power-sharing between experts and participant associations","Participant moral standing; benefit-sharing; legitimacy","Continuous communication; deliberative public engagement; periodic review","Tiered governance structure addressing issues at multiple governance levels","Static consent models; one-time ethics review; contractual interpretation of consent","Adaptive management; Trustworthy governance","Moves beyond project recruitment toward long-term governance of population biobanks under uncertain future uses","Provincial; National","Conceptual framework and formative case study","""Adaptive governance... contains an element of reflexivity, and employ[s] engagement strategies to get further participant input."" (p.369)","Conceptual governance framework for genomic biobanks"
"239","Rijke et al. (2012)","Fit-for-purpose governance: A framework to make adaptive governance operational","10.1016/j.envsci.2012.06.010","Australia; Netherlands","Environmental resource management; Urban water","Developments over the last decade","Critical literature review and diagnostic framework development","Operationalization of adaptive governance","Not reported (no empirical observation window; the paper ""lacks empirical evidence to show how the framework works in practice"" p.81)","Adaptive governance addresses uncertainty through continuous learning, involvement of multiple actors in decision making, and self-organization (p.74)","Network management; Institutional analysis; Complexity theory","Supportive / advocated","Leadership; redundant institutional arrangements; knowledge networks","Complexity; uncertainty; ambiguous objectives; uncertainty regarding strategy effectiveness","Room for the River (Netherlands); Australian urban water management","Network density; cohesion; centrality; social learning; leadership","Discusses distribution of power among actors and political legitimacy","Balances efficiency, environmental effectiveness, equity and political legitimacy","Continuous learning; self-organization; stakeholder collaboration","Flexible institutional arrangements; polycentric governance across multiple scales","Predict-and-control governance; rigid regulatory systems","Resilience thinking; Transition management; IWRM","Responds to change through self-organizing interactions rather than static governance","Operational; Institutional; Constitutional","Literature review and conceptual framework","""Adaptive governance attempts to address uncertainty through continuous learning, involvement of multiple actors in decision making and self-organisation."" (p.74)","Conceptual framework operationalizing adaptive governance"
"241","Pineda-Morales et al. (2025)","A review of domestic water management and adaptive governance in urban Latin America","10.1007/s43621-025-01643-6","Latin America (Chile, Mexico, Brazil, Peru, Colombia, etc.)","Domestic water supply and sanitation","1990s–2021","Systematic literature review (16 adaptive governance papers; 33 broader studies)","Published research/scientific papers on urban domestic water supply and sanitation governance in Latin America (documents as units of analysis; n=16 AG papers and n=33 water governance papers)","2011–2021","Adaptive governance encompasses processes and interactions among public/private actors, networks and institutions creating adaptability and transformability within complex SES (p.2)","Adaptive governance framework analyzed through three dimensions (bioregional scale, adaptive management, polycentricity) [11, 12]; systemic resilience; social-ecological systems theory; Ostrom's principles for common-pool resources [19]; problemshed approach; polycentricity theory [33-37]","Mixed","Community learning; multi-stakeholder arrangements; trust; participation","Political instability; weak coordination across administrative scales; unequal power dynamics","Community Organizations for Water and Sanitation Services (OCSAS); Room for the River example","Bioregional scale; adaptive management; social learning; polycentricity","Identifies inequitable power dynamics as a major regional governance challenge","Human right to water; environmental sustainability; legitimacy of local action","Learning policy cycles; collaborative approaches; strategic alliances","Flexible regulatory frameworks supporting adaptive decision-making","Neoliberal interventionism; authoritarian governance; bureaucratic centralization","Resilience; IWRM; Water security","Uses concepts such as the ""problemshed"" to analyze adaptive governance beyond watershed approaches","Multi-scale; Multi-level","Systematic literature review","""Adaptive governance framework... allows for more dynamic, strategic, and multi-scale academic analysis and decision-making processes."" (p.2)","Systematic review of adaptive governance in urban Latin American water management"
"242","Tiky & Ndiloseh (2025)","The paradox of climate resilience and elusive peace in the Lake Chad Basin: A case for an adaptive governance approach","10.1016/j.cosust.2025.101523","Lake Chad Basin (Chad, Cameroon, Niger, Nigeria)","Climate resilience; Peacebuilding","1963–2024","Mixed methods: expert interviews, focus groups and key informant interviews","Narratives on climate resilience and governance deficits","1960–2024","Adaptive governance emphasizes continuous learning, experimentation, contextual specificity and inclusive participation (p.2, p.6)","Complex Social-Ecological Systems Theory","Mixed","Social capital; social cohesion; collaboration with affected communities","Governance deficits; violence; military-centred responses","Pastoral corridor mapping; community-driven acacia planting","Local ownership; adaptive governance; flexibility","Discusses centre–periphery neglect, marginalization and inequality","Human rights; participatory governance; equitable treatment","Learning-by-doing; community dialogue; awareness campaigns","Resilient social institutions; cross-scale rule-making","Weak governance; coups; limited government presence","Resilience; Conflict transformation","Focuses on the capacity to resist, adapt and recover from intertwined conflict and climate risks","Local; National; International","Mixed-method empirical study","""Participatory adaptive governance would make climate resilience efforts more effective in forging durable peace..."" (p.2)","Empirical study linking adaptive governance, peacebuilding and climate resilience"
